

[2018-03-31 13:31:15] Startup - updater built Jun 16 2014 11:16:02
[2018-03-31 13:31:15] Verifying installation...
[2018-03-31 13:31:15] Unable to read and verify install manifest /var/www/html/.steam/package/steam_client_ubuntu12.installed
[2018-03-31 13:31:15] Verification complete
[2018-03-31 13:31:15] Downloading Update...
[2018-03-31 13:31:15] Checking for available update...
[2018-03-31 13:31:15] Package file tenfoot_misc_all.zip.1ca83d76835b4613170f5cead778b176b11f2b0c missing or incorrect size
[2018-03-31 13:31:15] Package file tenfoot_dicts_all.zip.33245b7d523f68418283e93b0572508fa127ee8f missing or incorrect size
[2018-03-31 13:31:15] Package file tenfoot_fonts_all.zip.vz.7673e4cd32b6752bc621d8bc1a7118a9af19b64a_12077027 missing or incorrect size
[2018-03-31 13:31:15] Package file tenfoot_ambientsounds_all.zip.89b80bcfdd11b2b99257ddbbdc374e2df54e2738 missing or incorrect size
[2018-03-31 13:31:15] Package file tenfoot_sounds_all.zip.vz.ffef2b2fc386819a842ea79484b966a937c2ca7e_1209792 missing or incorrect size
[2018-03-31 13:31:15] Package file tenfoot_images_all.zip.vz.bce319584d8d0ed84304d09b03e0b9a626c01b38_29616369 missing or incorrect size
[2018-03-31 13:31:15] Package file tenfoot_all.zip.vz.472e64361df52cdf8c673047e436cadf83a86f74_2509007 missing or incorrect size
[2018-03-31 13:31:15] Package file resources_misc_all.zip.vz.4a1fa88d21b005b67a41a9a0fc6044ae1fa46791_2225211 missing or incorrect size
[2018-03-31 13:31:15] Package file resources_music_all.zip.vz.7a62e15083d4a65668f0d1fa58ad8c1b99fb5ace_3708050 missing or incorrect size
[2018-03-31 13:31:15] Package file resources_hidpi_all.zip.f4d29967508acdaee185121991117905a12b260c missing or incorrect size
[2018-03-31 13:31:15] Package file resources_all.zip.vz.c463b6acf76546bb745b49de7dc519735c3fa75a_1154545 missing or incorrect size
[2018-03-31 13:31:15] Package file strings_en_all.zip.vz.c6b05e756f46dde404d6fde77657d8728055aa5c_87097 missing or incorrect size
[2018-03-31 13:31:15] Package file strings_all.zip.vz.5159cf5e069f614662b86c204cbdf62f82530bd6_2247452 missing or incorrect size
[2018-03-31 13:31:15] Package file public_all.zip.vz.12bfd31e0c8c260d7802f9d062386bff4b47c6cb_760985 missing or incorrect size
[2018-03-31 13:31:15] Package file bins_ubuntu12.zip.vz.8b280a456b7f6a89dbac16a097961f981b1bc94d_17230758 missing or incorrect size
[2018-03-31 13:31:15] Package file bins_pub_ubuntu12.zip.vz.90b475990168c3003940b6723b40b34d7101bbf6_9041163 missing or incorrect size
[2018-03-31 13:31:15] Package file bins_sdk_ubuntu12.zip.vz.104b49bf895b3f6921a513f919424ec715108b06_11521548 missing or incorrect size
[2018-03-31 13:31:15] Package file bins_codecs_ubuntu12.zip.vz.514550e29b738f5b44e1c2a910a9b7e094743812_2373626 missing or incorrect size
[2018-03-31 13:31:15] Package file bins_misc_ubuntu12.zip.vz.0014657bc85d0b8fce556c045357b6a038142098_931636 missing or incorrect size
[2018-03-31 13:31:15] Package file webkit_ubuntu12.zip.vz.af19a444f50f812f21ea69350998cbf1b37b38b0_47574236 missing or incorrect size
[2018-03-31 13:31:15] Package file miles_ubuntu12.zip.vz.4fd048667c97ef6eb976f4c42ce5c18f8695ac9e_295483 missing or incorrect size
[2018-03-31 13:31:15] Package file sdl2_ubuntu12.zip.vz.f2d999dae7250154c266eafd48d88bbdfb6e9882_634668 missing or incorrect size
[2018-03-31 13:31:15] Package file steam_ubuntu12.zip.vz.0fdc2da38abb75b3afa2d66c1f3bc323570389f9_1485465 missing or incorrect size
[2018-03-31 13:31:15] Package file runtime_part0_ubuntu12.zip.16a7022810a41887c1a404366b8b3374f6207b96 missing or incorrect size
[2018-03-31 13:31:15] Package file runtime_part1_ubuntu12.zip.3f9b858665026f22506d4ed592a2b250a5ad2d06 missing or incorrect size
[2018-03-31 13:31:15] Downloading update (0 of 275,424 KB)...
[2018-03-31 13:31:15] Downloading update (397 of 275,424 KB)...
[2018-03-31 13:31:16] Downloading update (1,015 of 275,424 KB)...
[2018-03-31 13:31:16] Downloading update (1,702 of 275,424 KB)...
[2018-03-31 13:31:16] Downloading update (2,365 of 275,424 KB)...
[2018-03-31 13:31:16] Downloading update (3,130 of 275,424 KB)...
[2018-03-31 13:31:17] Downloading update (3,791 of 275,424 KB)...
[2018-03-31 13:31:17] Downloading update (4,082 of 275,424 KB)...
[2018-03-31 13:31:17] Downloading update (4,723 of 275,424 KB)...
[2018-03-31 13:31:17] Downloading update (5,055 of 275,424 KB)...
[2018-03-31 13:31:18] Downloading update (5,534 of 275,424 KB)...
[2018-03-31 13:31:18] Downloading update (5,956 of 275,424 KB)...
[2018-03-31 13:31:18] Downloading update (6,326 of 275,424 KB)...
[2018-03-31 13:31:18] Downloading update (6,734 of 275,424 KB)...
[2018-03-31 13:31:19] Downloading update (7,062 of 275,424 KB)...
[2018-03-31 13:31:19] Downloading update (7,352 of 275,424 KB)...
[2018-03-31 13:31:19] Downloading update (7,534 of 275,424 KB)...
[2018-03-31 13:31:19] Downloading update (7,857 of 275,424 KB)...
[2018-03-31 13:31:20] Downloading update (8,071 of 275,424 KB)...
[2018-03-31 13:31:20] Downloading update (8,278 of 275,424 KB)...
[2018-03-31 13:31:20] Downloading update (8,976 of 275,424 KB)...
[2018-03-31 13:31:20] Downloading update (9,340 of 275,424 KB)...
[2018-03-31 13:31:21] Downloading update (9,741 of 275,424 KB)...
[2018-03-31 13:31:21] Downloading update (10,115 of 275,424 KB)...
[2018-03-31 13:31:21] Downloading update (10,557 of 275,424 KB)...
[2018-03-31 13:31:21] Downloading update (10,966 of 275,424 KB)...
[2018-03-31 13:31:22] Downloading update (11,368 of 275,424 KB)...
[2018-03-31 13:31:22] Downloading update (11,720 of 275,424 KB)...
[2018-03-31 13:31:22] Downloading update (12,336 of 275,424 KB)...
[2018-03-31 13:31:22] Downloading update (12,778 of 275,424 KB)...
[2018-03-31 13:31:23] Downloading update (13,269 of 275,424 KB)...
[2018-03-31 13:31:23] Downloading update (13,699 of 275,424 KB)...
[2018-03-31 13:31:23] Downloading update (14,186 of 275,424 KB)...
[2018-03-31 13:31:23] Downloading update (14,699 of 275,424 KB)...
[2018-03-31 13:31:24] Downloading update (15,202 of 275,424 KB)...
[2018-03-31 13:31:24] Downloading update (15,697 of 275,424 KB)...
[2018-03-31 13:31:24] Downloading update (16,047 of 275,424 KB)...
[2018-03-31 13:31:24] Downloading update (16,256 of 275,424 KB)...
[2018-03-31 13:31:25] Downloading update (16,778 of 275,424 KB)...
[2018-03-31 13:31:25] Downloading update (17,121 of 275,424 KB)...
[2018-03-31 13:31:25] Downloading update (17,421 of 275,424 KB)...
[2018-03-31 13:31:25] Downloading update (17,972 of 275,424 KB)...
[2018-03-31 13:31:26] Downloading update (18,498 of 275,424 KB)...
[2018-03-31 13:31:26] Downloading update (19,016 of 275,424 KB)...
[2018-03-31 13:31:26] Downloading update (19,528 of 275,424 KB)...
[2018-03-31 13:31:26] Downloading update (20,027 of 275,424 KB)...
[2018-03-31 13:31:27] Downloading update (20,511 of 275,424 KB)...
[2018-03-31 13:31:27] Downloading update (20,997 of 275,424 KB)...
[2018-03-31 13:31:27] Downloading update (21,109 of 275,424 KB)...
[2018-03-31 13:31:27] Downloading update (21,249 of 275,424 KB)...
[2018-03-31 13:31:28] Downloading update (21,552 of 275,424 KB)...
[2018-03-31 13:31:28] Downloading update (22,005 of 275,424 KB)...
[2018-03-31 13:31:28] Downloading update (22,421 of 275,424 KB)...
[2018-03-31 13:31:28] Downloading update (22,889 of 275,424 KB)...
[2018-03-31 13:31:29] Downloading update (23,230 of 275,424 KB)...
[2018-03-31 13:31:29] Downloading update (23,744 of 275,424 KB)...
[2018-03-31 13:31:29] Downloading update (24,269 of 275,424 KB)...
[2018-03-31 13:31:29] Downloading update (24,734 of 275,424 KB)...
[2018-03-31 13:31:30] Downloading update (25,203 of 275,424 KB)...
[2018-03-31 13:31:30] Downloading update (25,717 of 275,424 KB)...
[2018-03-31 13:31:30] Downloading update (26,257 of 275,424 KB)...
[2018-03-31 13:31:30] Downloading update (26,813 of 275,424 KB)...
[2018-03-31 13:31:31] Downloading update (27,542 of 275,424 KB)...
[2018-03-31 13:31:31] Downloading update (28,104 of 275,424 KB)...
[2018-03-31 13:31:31] Downloading update (28,735 of 275,424 KB)...
[2018-03-31 13:31:31] Downloading update (29,249 of 275,424 KB)...
[2018-03-31 13:31:32] Downloading update (29,908 of 275,424 KB)...
[2018-03-31 13:31:32] Downloading update (30,484 of 275,424 KB)...
[2018-03-31 13:31:32] Downloading update (31,084 of 275,424 KB)...
[2018-03-31 13:31:32] Downloading update (31,632 of 275,424 KB)...
[2018-03-31 13:31:33] Downloading update (32,347 of 275,424 KB)...
[2018-03-31 13:31:33] Downloading update (33,032 of 275,424 KB)...
[2018-03-31 13:31:33] Downloading update (33,739 of 275,424 KB)...
[2018-03-31 13:31:33] Downloading update (34,469 of 275,424 KB)...
[2018-03-31 13:31:34] Downloading update (35,203 of 275,424 KB)...
[2018-03-31 13:31:34] Downloading update (35,902 of 275,424 KB)...
[2018-03-31 13:31:34] Downloading update (36,515 of 275,424 KB)...
[2018-03-31 13:31:34] Downloading update (37,235 of 275,424 KB)...
[2018-03-31 13:31:35] Downloading update (37,892 of 275,424 KB)...
[2018-03-31 13:31:35] Downloading update (38,458 of 275,424 KB)...
[2018-03-31 13:31:35] Downloading update (38,826 of 275,424 KB)...
[2018-03-31 13:31:35] Downloading update (39,549 of 275,424 KB)...
[2018-03-31 13:31:36] Downloading update (40,192 of 275,424 KB)...
[2018-03-31 13:31:36] Downloading update (40,840 of 275,424 KB)...
[2018-03-31 13:31:36] Downloading update (41,532 of 275,424 KB)...
[2018-03-31 13:31:36] Downloading update (42,084 of 275,424 KB)...
[2018-03-31 13:31:37] Downloading update (42,681 of 275,424 KB)...
[2018-03-31 13:31:37] Downloading update (43,197 of 275,424 KB)...
[2018-03-31 13:31:37] Downloading update (43,794 of 275,424 KB)...
[2018-03-31 13:31:37] Downloading update (44,364 of 275,424 KB)...
[2018-03-31 13:31:38] Downloading update (44,805 of 275,424 KB)...
[2018-03-31 13:31:38] Downloading update (45,107 of 275,424 KB)...
[2018-03-31 13:31:38] Downloading update (45,557 of 275,424 KB)...
[2018-03-31 13:31:38] Downloading update (46,036 of 275,424 KB)...
[2018-03-31 13:31:39] Downloading update (46,402 of 275,424 KB)...
[2018-03-31 13:31:39] Downloading update (46,858 of 275,424 KB)...
[2018-03-31 13:31:39] Downloading update (47,463 of 275,424 KB)...
[2018-03-31 13:31:40] Downloading update (47,898 of 275,424 KB)...
[2018-03-31 13:31:40] Downloading update (48,460 of 275,424 KB)...
[2018-03-31 13:31:40] Downloading update (48,893 of 275,424 KB)...
[2018-03-31 13:31:40] Downloading update (49,351 of 275,424 KB)...
[2018-03-31 13:31:41] Downloading update (49,741 of 275,424 KB)...
[2018-03-31 13:31:41] Downloading update (50,273 of 275,424 KB)...
[2018-03-31 13:31:41] Downloading update (50,639 of 275,424 KB)...
[2018-03-31 13:31:41] Downloading update (51,022 of 275,424 KB)...
[2018-03-31 13:31:42] Downloading update (51,461 of 275,424 KB)...
[2018-03-31 13:31:42] Downloading update (51,841 of 275,424 KB)...
[2018-03-31 13:31:42] Downloading update (52,314 of 275,424 KB)...
[2018-03-31 13:31:42] Downloading update (52,781 of 275,424 KB)...
[2018-03-31 13:31:43] Downloading update (53,282 of 275,424 KB)...
[2018-03-31 13:31:43] Downloading update (53,731 of 275,424 KB)...
[2018-03-31 13:31:43] Downloading update (54,266 of 275,424 KB)...
[2018-03-31 13:31:43] Downloading update (54,735 of 275,424 KB)...
[2018-03-31 13:31:44] Downloading update (55,234 of 275,424 KB)...
[2018-03-31 13:31:44] Downloading update (55,715 of 275,424 KB)...
[2018-03-31 13:31:44] Downloading update (56,147 of 275,424 KB)...
[2018-03-31 13:31:44] Downloading update (56,649 of 275,424 KB)...
[2018-03-31 13:31:45] Downloading update (57,122 of 275,424 KB)...
[2018-03-31 13:31:45] Downloading update (57,458 of 275,424 KB)...
[2018-03-31 13:31:45] Downloading update (57,962 of 275,424 KB)...
[2018-03-31 13:31:45] Downloading update (58,462 of 275,424 KB)...
[2018-03-31 13:31:46] Downloading update (58,972 of 275,424 KB)...
[2018-03-31 13:31:46] Downloading update (59,479 of 275,424 KB)...
[2018-03-31 13:31:46] Downloading update (59,974 of 275,424 KB)...
[2018-03-31 13:31:46] Downloading update (60,505 of 275,424 KB)...
[2018-03-31 13:31:47] Downloading update (60,974 of 275,424 KB)...
[2018-03-31 13:31:47] Downloading update (61,559 of 275,424 KB)...
[2018-03-31 13:31:47] Downloading update (62,017 of 275,424 KB)...
[2018-03-31 13:31:47] Downloading update (62,492 of 275,424 KB)...
[2018-03-31 13:31:48] Downloading update (62,870 of 275,424 KB)...
[2018-03-31 13:31:48] Downloading update (63,372 of 275,424 KB)...
[2018-03-31 13:31:48] Downloading update (63,801 of 275,424 KB)...
[2018-03-31 13:31:48] Downloading update (64,310 of 275,424 KB)...
[2018-03-31 13:31:49] Downloading update (64,801 of 275,424 KB)...
[2018-03-31 13:31:49] Downloading update (65,242 of 275,424 KB)...
[2018-03-31 13:31:49] Downloading update (65,879 of 275,424 KB)...
[2018-03-31 13:31:49] Downloading update (66,334 of 275,424 KB)...
[2018-03-31 13:31:50] Downloading update (66,862 of 275,424 KB)...
[2018-03-31 13:31:50] Downloading update (67,317 of 275,424 KB)...
[2018-03-31 13:31:50] Downloading update (67,825 of 275,424 KB)...
[2018-03-31 13:31:50] Downloading update (68,298 of 275,424 KB)...
[2018-03-31 13:31:51] Downloading update (68,813 of 275,424 KB)...
